Timestamp,What is the hardest thing about being a remote employee?
9/30/2015 13:08:14,Communication
9/30/2015 13:26:21,exclusion
9/30/2015 13:26:30,communication
9/30/2015 13:27:14,recognition
9/30/2015 13:35:45,family
9/30/2015 13:43:56,Gossip
9/30/2015 13:49:18,Communication
9/30/2015 13:54:00,intimacy
9/30/2015 13:54:45,pollination
9/30/2015 14:04:18,discipline
9/30/2015 14:04:54,discipline
9/30/2015 14:16:33,Whiteboards
9/30/2015 14:31:22,Nuance
9/30/2015 14:32:01,prose
9/30/2015 14:41:09,buy-in
9/30/2015 14:47:22,visibility
9/30/2015 15:12:09,nothing
9/30/2015 15:39:50,isolation
9/30/2015 15:40:51,Camping
9/30/2015 15:40:55,Isolation
9/30/2015 15:41:11,coordination
9/30/2015 15:41:33,choosingonewordistoohard
9/30/2015 15:41:44,kids
9/30/2015 15:42:30,Isolation
9/30/2015 15:43:09,Kids.
9/30/2015 15:43:28,communication
9/30/2015 15:44:51,Pants
9/30/2015 15:45:18,Timezones
9/30/2015 15:45:22,Exclusion
9/30/2015 15:45:30,Caring
9/30/2015 15:46:25,Disconnecting
9/30/2015 15:46:34,fitness
9/30/2015 15:47:11,disconnect
9/30/2015 15:47:25,community
9/30/2015 15:48:32,distractions
9/30/2015 15:50:51,alone
9/30/2015 15:51:32,Meetings
9/30/2015 15:52:37,Timezones
9/30/2015 15:52:39,Stopping
9/30/2015 15:53:13,lonliness
9/30/2015 15:55:39,camaraderie
9/30/2015 15:56:17,internet
9/30/2015 15:57:36,🎳
9/30/2015 15:57:49,loneliness
9/30/2015 15:58:18,timezones
9/30/2015 15:58:38,communication
9/30/2015 15:59:53,connection
9/30/2015 15:59:54,depression
9/30/2015 16:04:04,coworkers
9/30/2015 16:04:50,Disconnection
9/30/2015 16:11:31,loneliness
9/30/2015 16:14:22,Sleep
9/30/2015 16:14:52,Communication
9/30/2015 16:15:36,Lonesome
9/30/2015 16:16:03,Trust
9/30/2015 16:16:05,Isolation
9/30/2015 16:16:24,communication
9/30/2015 16:20:39,Lonesome
9/30/2015 16:31:09,working
9/30/2015 16:36:15,mobility
9/30/2015 16:38:35,Communication
9/30/2015 16:42:32,Timezonedifference
9/30/2015 16:48:47,Isolation
9/30/2015 16:49:00,Isolation
9/30/2015 16:49:21,communication
9/30/2015 16:53:01,Connected
9/30/2015 16:58:19,isolation
9/30/2015 17:08:19,Love
9/30/2015 17:08:29,fnord
9/30/2015 17:10:11,connectedness
9/30/2015 17:17:29,nothing
9/30/2015 17:27:03,communication
9/30/2015 17:28:46,Pants
9/30/2015 17:33:20,Recognition
9/30/2015 17:35:45,communication
9/30/2015 17:38:35,Disconnecting
9/30/2015 17:43:33,isolation
9/30/2015 17:43:38,Expectations
9/30/2015 17:43:52,Communication
9/30/2015 17:49:05,communication
9/30/2015 17:49:45,eavesdroppinglessness
9/30/2015 17:50:09,ergonomics
9/30/2015 17:50:54,support
9/30/2015 17:51:36,Loneliness
9/30/2015 17:53:59,IM
9/30/2015 17:56:44,communication
9/30/2015 18:00:23,Deaf
9/30/2015 18:03:43,Communication
9/30/2015 18:08:25,disremembered
9/30/2015 18:12:38,distractions
9/30/2015 18:13:45,Synchronization
9/30/2015 18:19:17,context
9/30/2015 18:20:28,mikeg
9/30/2015 18:21:09,fatigue
9/30/2015 18:22:14,isolation
9/30/2015 18:25:20,politics
9/30/2015 18:25:26,Comcast
9/30/2015 18:25:49,undercommunicating
9/30/2015 18:26:49,Communication
9/30/2015 18:27:27,Communication
9/30/2015 18:27:53,Masturbation
9/30/2015 18:28:35,Discipline
9/30/2015 18:29:10,Discipline
9/30/2015 18:31:10,distraction
9/30/2015 18:34:53,Context
9/30/2015 18:35:05,Communication
9/30/2015 18:36:14,Stopping
9/30/2015 18:36:31,Stopping
9/30/2015 18:37:54,Isolated
9/30/2015 18:38:07,Isolated
9/30/2015 18:43:03,comunication
9/30/2015 18:52:14,Loneliness
9/30/2015 18:55:31,communication
9/30/2015 18:55:55,Loneliness
9/30/2015 18:57:12,😤😡😎😷😖😫😅
9/30/2015 19:03:32,lunch
9/30/2015 19:03:37,Isolation
9/30/2015 19:04:32,Isolation
9/30/2015 19:10:09,pants
9/30/2015 19:14:49,Showering
9/30/2015 19:22:12,indignance
9/30/2015 19:26:46,0-social-interactions
9/30/2015 19:32:17,distraction
9/30/2015 19:34:05,Time
9/30/2015 19:37:43,boundaries
9/30/2015 19:41:02,Communication
9/30/2015 19:51:34,Separation
9/30/2015 19:56:57,Collaboration
9/30/2015 19:58:38,Health
9/30/2015 19:59:35,connection
9/30/2015 19:59:59,visibility
9/30/2015 20:00:08,Health
9/30/2015 20:05:28,Disconnected
9/30/2015 20:15:59,Communication
9/30/2015 20:18:08,mentoring
9/30/2015 20:49:37,Anxiety
9/30/2015 20:49:52,discipline
9/30/2015 20:54:16,Accountability
9/30/2015 21:15:19,focus
9/30/2015 21:47:08,contact
9/30/2015 22:45:14,Elitism
9/30/2015 22:57:45,Isolation
9/30/2015 23:17:04,collaboration
9/30/2015 23:31:38,Communication
9/30/2015 23:45:02,Meetings
9/30/2015 23:45:43,lonliness
9/30/2015 23:57:31,yellow
10/1/2015 0:17:24,Long_Evening
10/1/2015 0:30:37,love
10/1/2015 1:05:16,Lonely
10/1/2015 1:06:22,consistency
10/1/2015 1:09:50,Timezones
10/1/2015 1:19:05,camaraderie
10/1/2015 1:20:57,loneliness
10/1/2015 1:21:21,loneliness
10/1/2015 1:32:18,Colleagues
10/1/2015 2:01:08,discipline
10/1/2015 2:22:08,Newcomers
10/1/2015 2:41:54,Isolation
10/1/2015 2:49:24,communication
10/1/2015 3:06:25,culture
10/1/2015 4:16:49,communication
10/1/2015 4:20:57,nothing
10/1/2015 6:09:40,loneliness
10/1/2015 7:54:04,volume
10/1/2015 8:23:29,FOMO
10/1/2015 8:28:30,Excluded
10/1/2015 8:40:19,Isolation
10/1/2015 9:40:36,access
10/1/2015 9:42:14,Loneliness
10/1/2015 9:45:30,Loneliness
10/1/2015 9:53:07,no_offtopic_chats_over_coffee/lunch_with_teammates
10/1/2015 9:58:16,lunch
10/1/2015 10:02:27,employee?
10/1/2015 10:07:19,Mindshare
10/1/2015 10:07:27,Attention
10/1/2015 10:07:30,Attention
10/1/2015 10:07:59,Attention
10/1/2015 10:20:09,loneliness
10/1/2015 11:20:57,Isolation
10/1/2015 11:36:14,meatspace
10/1/2015 11:36:36,whennooneelseis
10/1/2015 14:19:45,Pants
10/1/2015 14:29:49,forgotten
10/1/2015 15:24:47,pizza
10/1/2015 15:44:17,test
10/1/2015 16:18:17,loneliness
10/1/2015 16:19:03,Eating
10/1/2015 16:49:45,isolated
10/1/2015 17:23:35,waiting
10/1/2015 17:24:35,communication
10/1/2015 17:29:44,Isolated
10/1/2015 18:02:03,collaboration
10/1/2015 18:07:42,loneliness
10/1/2015 18:28:18,Communication
10/1/2015 18:59:47,managers
10/1/2015 19:08:39,Balance
10/1/2015 20:51:11,!watercooler
10/1/2015 22:21:15,heating
10/1/2015 22:26:59,presence
10/2/2015 1:16:25,Brainstorming
10/2/2015 4:44:16,motivation
10/2/2015 6:10:02,Alone
10/2/2015 6:31:54,Kids
10/2/2015 7:39:44,context
10/2/2015 8:59:21,Loneliness
10/2/2015 9:36:13,whiteboards
10/2/2015 10:23:38,loneliness
10/2/2015 10:28:34,overlooked
10/2/2015 10:53:12,cross-pollination
10/2/2015 11:11:24,lonely
10/2/2015 11:46:29,socializing
10/4/2015 12:18:25,socialization
10/4/2015 13:14:06,visibility
10/4/2015 17:39:00,Sensing
10/4/2015 21:06:40,stuck
10/4/2015 22:07:14,Timezones
10/6/2015 13:26:51,Food
10/9/2015 8:56:04,latency
10/9/2015 9:00:41,Silence
10/9/2015 9:04:48,Distraction
10/9/2015 9:48:44,Bonding
10/9/2015 9:49:26,Bonding
10/9/2015 9:58:21,Engagement
10/9/2015 10:04:51,Interrruptions
10/9/2015 10:16:02,Audio
10/9/2015 10:17:17,interaction
10/9/2015 10:23:18,Yourself
10/9/2015 10:44:30,Communication
10/9/2015 10:45:23,collaboration
10/9/2015 10:46:27,loneliness
10/9/2015 10:46:28,Boredom
10/9/2015 10:46:47,pantlessness
10/9/2015 10:47:12,teambuilding
10/9/2015 10:47:49,alonetime
10/9/2015 10:47:55,timezones
10/9/2015 10:47:58,camaradarie
10/9/2015 10:48:32,Discipline
10/9/2015 10:48:33,benefits
10/9/2015 10:48:33,inclusion
10/9/2015 10:48:42,spontaneity
10/9/2015 10:49:19,Alone
10/9/2015 10:49:19,timezones
10/9/2015 10:49:25,change-job
10/9/2015 10:49:30,Disconnection
10/9/2015 10:49:36,solitude
10/9/2015 10:49:47,Awareness
10/9/2015 10:49:51,balance
10/9/2015 10:50:09,Lunch
10/9/2015 10:50:12,caring
10/9/2015 10:50:55,Motivation
10/9/2015 10:50:56,Poptarts
10/9/2015 10:51:00,Loneliness
10/9/2015 10:51:06,Loneliness
10/9/2015 10:51:58,connection
10/9/2015 10:52:07,isolation
10/9/2015 10:52:20,Chastity
10/9/2015 10:52:53,Micromanagement
10/9/2015 10:53:00,Bonding
10/9/2015 10:54:03,information
10/9/2015 10:54:04,Overlapping
10/9/2015 10:54:21,scheduling
10/9/2015 10:54:39,control
10/9/2015 10:55:16,communication
10/9/2015 10:55:45,detachment
10/9/2015 10:56:18,Lonelyness
10/9/2015 10:56:27,Nothing
10/9/2015 10:56:46,Unplugging
10/9/2015 10:57:08,loneliness
10/9/2015 10:57:14,impromptu-conversations
10/9/2015 10:57:29,Friends
10/9/2015 10:57:38,Distractions
10/9/2015 10:57:46,isolation
10/9/2015 10:59:03,exclusion
10/9/2015 11:01:25,dick
10/9/2015 11:02:21,focus
10/9/2015 11:02:28,Clients
10/9/2015 11:04:14,people
10/9/2015 11:04:38,jokes
10/9/2015 11:05:01,Communication
10/9/2015 11:05:16,Grooming
10/9/2015 11:05:29,penis
10/9/2015 11:08:00,Guanajuato
10/9/2015 11:13:54,cooking
10/9/2015 11:14:25,focus
10/9/2015 11:15:08,synchronization
10/9/2015 11:15:12,discuss
10/9/2015 11:16:25,Focus
10/9/2015 11:16:51,social
10/9/2015 11:17:12,Motivation
10/9/2015 11:18:46,Communication
10/9/2015 11:19:19,Socialization
10/9/2015 11:23:59,pants
10/9/2015 11:24:12,social
10/9/2015 11:25:56,word
10/9/2015 11:29:25,Play
10/9/2015 11:31:23,loneliness
10/9/2015 11:32:12,telephony
10/9/2015 11:33:44,schedule
10/9/2015 11:35:51,Interaction
10/9/2015 11:39:24,explaining
10/9/2015 11:39:26,Disconnecting
10/9/2015 11:40:43,relationships
10/9/2015 11:41:27,Discipline
10/9/2015 11:43:27,Taxes
10/9/2015 11:45:35,Socializing
10/9/2015 11:45:50,isolation
10/9/2015 11:46:36,People
10/9/2015 11:48:58,loneliness
10/9/2015 11:49:46,Culture
10/9/2015 11:50:45,Socializing
10/9/2015 11:51:26,sleep
10/9/2015 11:52:00,help
10/9/2015 11:54:02,loneliness
10/9/2015 11:56:29,socializing
10/9/2015 11:56:49,inclusion
10/9/2015 11:58:06,priorities
10/9/2015 12:02:18,exclusion
10/9/2015 12:03:30,Kids
10/9/2015 12:05:44,collaboration
10/9/2015 12:10:31,Career
10/9/2015 12:13:21,motivation
10/9/2015 12:13:55,inclusion
10/9/2015 12:14:30,communication
10/9/2015 12:17:52,Fraternization
10/9/2015 12:18:25,Undersocialising
10/9/2015 12:24:48,trust
10/9/2015 12:25:42,buy-in
10/9/2015 12:26:36,Timezones
10/9/2015 12:32:50,socialization
10/9/2015 12:38:26,sleep
10/9/2015 14:37:28,Interaction/Communication
10/9/2015 12:57:39,empathy
10/9/2015 12:59:46,distance
10/9/2015 13:04:39,Collaboration
10/9/2015 13:05:39,Separation
10/9/2015 13:07:17,Loneliness
10/9/2015 13:11:04,time
10/9/2015 13:20:20,Isolation
10/9/2015 13:36:01,10%
10/9/2015 13:38:23,sleep
10/9/2015 13:46:43,rest
10/9/2015 13:50:05,alone
10/9/2015 13:50:29,maintenance
10/9/2015 13:52:07,Nothing
10/9/2015 14:08:53,guiltiness
10/9/2015 14:16:24,FOMO
10/9/2015 14:17:15,communication
10/9/2015 14:33:12,Communication
10/9/2015 14:43:52,balance
10/9/2015 14:47:29,disconnecting
10/9/2015 14:48:12,distraction
10/9/2015 14:53:32,Barking
10/9/2015 15:20:17,coordination
10/9/2015 15:40:36,communication
10/9/2015 15:49:04,Disconnecting
10/9/2015 16:04:23,Pants
10/9/2015 16:18:11,Communication
10/9/2015 16:24:12,Face-to-face
10/9/2015 16:25:11,socializing
10/9/2015 16:26:59,Communication
10/9/2015 16:28:38,communication
10/9/2015 16:29:06,Presence
10/9/2015 16:34:17,isolation
10/9/2015 16:38:53,Integration
10/9/2015 16:56:02,Dividing
10/9/2015 17:00:28,Tone
10/9/2015 17:13:58,Loneliness
10/9/2015 17:32:09,loneliness
10/9/2015 17:48:01,that
10/9/2015 18:21:44,Timezones
10/9/2015 18:22:44,Timezones
10/9/2015 19:32:23,loneliness
10/9/2015 19:38:51,This
10/9/2015 20:06:17,Isolated
10/9/2015 20:29:57,context
10/9/2015 21:15:35,timezones
10/9/2015 21:40:33,Representation
10/9/2015 23:28:36,Isolation
10/10/2015 1:27:18,Catbarf
10/10/2015 1:35:23,focus
10/10/2015 6:11:33,Timezones
10/10/2015 7:08:28,Kids
10/10/2015 7:58:19,Audio
10/10/2015 11:08:55,Disconnecting
10/10/2015 15:36:11,Hugging
10/10/2015 16:13:32,communication
10/10/2015 19:32:57,restraint
10/10/2015 21:06:02,Communication
10/10/2015 21:37:09,Culture
10/10/2015 21:53:14,isolation
10/10/2015 22:11:20,pity
10/11/2015 0:05:53,Meetings
10/11/2015 1:19:03,Focus
10/11/2015 6:27:50,everything
10/11/2015 7:10:42,Loneliness
10/11/2015 7:11:12,Loneliness
10/11/2015 12:35:06,separation
